,Year_Birth,Education,Income,Recency,NumWebVisitsMonth,Complain,Response,RelStatus,amountSpent,numOfPurchases,numOfMinorsHome,prvAcceptedCampaigns,dateCust,dateCustYear,custAge
0,1957,Graduation,58138.0,58,7,0,1,Single,1617,25,0,0,2012-09-04,2012,55
1,1954,Graduation,46344.0,38,5,0,0,Single,27,6,2,0,2014-03-08,2014,60
2,1965,Graduation,71613.0,26,4,0,0,Coupled,776,21,0,0,2013-08-21,2013,48
3,1984,Graduation,26646.0,26,6,0,0,Coupled,53,8,1,0,2014-02-10,2014,30
4,1981,PhD,58293.0,94,5,0,0,Coupled,422,19,1,0,2014-01-19,2014,33
5,1967,Master,62513.0,16,6,0,0,Coupled,716,22,1,0,2013-09-09,2013,46
6,1971,Graduation,55635.0,34,6,0,0,Single,590,21,1,0,2012-11-13,2012,41
7,1985,PhD,33454.0,32,8,0,0,Coupled,169,10,1,0,2013-05-08,2013,28
8,1974,PhD,30351.0,19,9,0,1,Coupled,46,6,1,0,2013-06-06,2013,39
9,1950,PhD,5648.0,68,20,0,0,Coupled,49,2,2,1,2014-03-13,2014,64
10,1983,Graduation,30452.5061518071,11,7,0,0,Coupled,19,4,1,0,2013-11-15,2013,30
11,1976,Basic,7500.0,59,8,0,0,Coupled,61,6,0,0,2012-11-13,2012,36
12,1959,Graduation,63033.0,82,2,0,0,Single,1102,16,0,0,2013-11-15,2013,54
13,1952,Master,59354.0,53,6,0,0,Single,310,15,2,0,2013-11-15,2013,61
14,1987,Graduation,17323.0,38,8,0,0,Coupled,46,5,0,0,2012-10-10,2012,25
15,1946,PhD,82800.0,23,3,0,1,Single,1315,26,0,2,2012-11-24,2012,66
16,1980,Graduation,41850.0,51,8,0,0,Coupled,96,9,2,0,2012-12-24,2012,32
17,1946,Graduation,37760.0,20,7,0,0,Coupled,317,13,0,0,2012-08-31,2012,66
18,1949,Master,76995.0,91,5,0,0,Coupled,1782,26,1,1,2013-03-28,2013,64
19,1985,2n Cycle,33812.0,86,6,0,0,Single,133,8,1,0,2012-11-03,2012,27
20,1982,Graduation,37040.0,41,8,0,0,Coupled,316,12,0,0,2012-08-08,2012,30
21,1979,Graduation,2447.0,42,1,0,0,Coupled,1730,43,1,0,2013-01-06,2013,34
22,1949,PhD,58607.0,63,8,0,0,Coupled,972,17,1,1,2012-12-23,2012,63
23,1954,PhD,65324.0,0,4,0,0,Coupled,544,20,1,0,2014-01-11,2014,60
24,1951,Graduation,40689.0,69,8,0,0,Coupled,444,20,1,0,2013-03-18,2013,62
25,1969,Graduation,18589.0,89,7,0,0,Single,75,8,0,0,2013-01-02,2013,44
26,1976,Graduation,53359.0,4,7,0,0,Coupled,257,14,2,0,2013-05-27,2013,37
27,1986,Graduation,80481.29912230236,19,1,0,0,Single,637,27,1,0,2013-02-20,2013,27
28,1989,Graduation,38360.0,26,3,0,0,Coupled,131,9,1,0,2013-05-31,2013,24
29,1965,PhD,84618.0,96,2,0,0,Coupled,1672,26,0,1,2013-11-22,2013,48
30,1989,Master,10979.0,34,5,0,0,Single,30,8,0,0,2014-05-22,2014,25
31,1963,Master,38620.0,56,3,0,0,Coupled,318,11,0,0,2013-05-11,2013,50
32,1970,Graduation,40548.0,31,5,0,0,Coupled,120,9,1,1,2012-10-10,2012,42
33,1952,PhD,46610.0,8,6,0,1,Single,302,17,2,0,2012-10-29,2012,60
34,1946,Master,68657.0,4,7,0,0,Coupled,1196,18,0,0,2013-02-20,2013,67
35,1951,Master,49389.0,55,7,0,0,Single,65,6,2,0,2013-08-29,2013,62
36,1970,PhD,67353.0,37,2,0,0,Coupled,913,28,1,0,2013-12-31,2013,43
37,1976,2n Cycle,23718.0,76,7,0,0,Coupled,81,9,1,0,2013-09-02,2013,37
38,1973,Graduation,42429.0,99,5,0,0,Single,67,7,1,0,2014-02-11,2014,41
39,1943,PhD,48948.0,53,6,0,1,Single,902,24,0,1,2013-02-01,2013,70
40,1980,Graduation,80011.0,3,4,0,0,Coupled,1395,21,1,0,2013-04-29,2013,33
41,1985,Master,20559.0,88,8,0,0,Coupled,53,7,1,0,2013-03-12,2013,28
42,1957,Graduation,21994.0,4,5,0,0,Coupled,22,4,1,0,2012-12-24,2012,55
43,1959,PhD,49304.7835234208,80,2,0,0,Single,186,9,0,0,2013-11-05,2013,54
44,1975,Master,7500.0,19,5,0,0,Coupled,31,8,1,0,2013-10-02,2013,38
45,1976,Graduation,79941.0,72,1,0,0,Single,984,16,0,0,2014-06-28,2014,38
46,1996,2n Cycle,7500.0,24,9,0,1,Coupled,122,10,0,0,2012-11-09,2012,16
47,1968,Graduation,41728.0,92,10,0,0,Coupled,55,5,1,0,2013-05-24,2013,45
48,1951,Graduation,43515.92398941073,96,6,0,0,Single,124,10,3,0,2014-01-01,2014,63
